op,shape,time,valid,count
celu,"(1,)",4.0,600,"(600, 600)"
celu,"(2,)",4.0,600,"(600, 600)"
celu,"(4,)",4.0,600,"(600, 600)"
celu,"(8,)",4.0,600,"(600, 600)"
celu,"(16,)",4.0,600,"(600, 600)"
celu,"(32,)",4.0,600,"(600, 600)"
celu,"(64,)",4.0,600,"(600, 600)"
celu,"(128,)",4.0,600,"(600, 600)"
celu,"(256,)",4.0,600,"(600, 600)"
celu,"(512,)",4.0,600,"(600, 600)"
celu,"(1024,)",4.0,600,"(600, 600)"
celu,"(2048,)",4.0,600,"(600, 600)"
celu,"(4096,)",4.0,600,"(600, 600)"
celu,"(8192,)",4.0,600,"(600, 600)"
celu,"(16384,)",4.0,600,"(600, 600)"
celu,"(32768,)",4.0,600,"(600, 600)"
celu,"(65536,)",4.0,600,"(600, 600)"
celu,"(131072,)",6.0,600,"(600, 600)"
celu,"(262144,)",6.0,600,"(600, 600)"
celu,"(524288,)",8.0,600,"(600, 600)"
celu,"(1048576,)",20.276666666666667,600,"(600, 600)"
celu,"(2097152,)",45.13,600,"(600, 600)"
celu,"(4194304,)",85.48666666666666,600,"(600, 600)"
celu,"(8388608,)",164.98333333333332,600,"(600, 600)"
celu,"(16777216,)",323.33666666666664,600,"(600, 600)"
celu,"(33554432,)",641.2266666666667,600,"(600, 600)"
celu,"(67108864,)",1275.3966666666668,600,"(600, 600)"
celu,"(134217728,)",2546.213333333333,600,"(600, 600)"
celu,"(268435456,)",5094.12,600,"(600, 600)"
celu,"(536870912,)",10196.39,600,"(600, 600)"
elu,"(1,)",4.0,600,"(600, 600)"
elu,"(2,)",4.0,600,"(600, 600)"
elu,"(4,)",4.0,600,"(600, 600)"
elu,"(8,)",4.0,600,"(600, 600)"
elu,"(16,)",4.0,600,"(600, 600)"
elu,"(32,)",4.0,600,"(600, 600)"
elu,"(64,)",4.0,600,"(600, 600)"
elu,"(128,)",4.0,600,"(600, 600)"
elu,"(256,)",4.0,600,"(600, 600)"
elu,"(512,)",4.0,600,"(600, 600)"
elu,"(1024,)",4.0,600,"(600, 600)"
elu,"(2048,)",4.0,600,"(600, 600)"
elu,"(4096,)",4.0,600,"(600, 600)"
elu,"(8192,)",4.0,600,"(600, 600)"
elu,"(16384,)",4.0,600,"(600, 600)"
elu,"(32768,)",4.0,600,"(600, 600)"
elu,"(65536,)",4.0,600,"(600, 600)"
elu,"(131072,)",6.0,600,"(600, 600)"
elu,"(262144,)",6.0,600,"(600, 600)"
elu,"(524288,)",8.0,600,"(600, 600)"
elu,"(1048576,)",20.0,600,"(600, 600)"
elu,"(2097152,)",45.45666666666666,600,"(600, 600)"
elu,"(4194304,)",85.46333333333334,600,"(600, 600)"
elu,"(8388608,)",165.02333333333334,600,"(600, 600)"
elu,"(16777216,)",323.37,600,"(600, 600)"
