op,shape,time,valid,count
atan2,"(1,), (1,)",4.0,517,"(517, 517)"
atan2,"(2,), (2,)",4.0,484,"(484, 484)"
atan2,"(4,), (4,)",4.0,478,"(478, 478)"
atan2,"(8,), (8,)",4.0,534,"(534, 534)"
atan2,"(16,), (16,)",4.0,484,"(484, 484)"
atan2,"(32,), (32,)",4.0,526,"(526, 526)"
atan2,"(64,), (64,)",4.0,489,"(489, 489)"
atan2,"(128,), (128,)",4.0,496,"(496, 496)"
atan2,"(256,), (256,)",4.0,527,"(527, 527)"
atan2,"(512,), (512,)",4.0,505,"(505, 488)"
atan2,"(1024,), (1024,)",4.0,587,"(587, 531)"
atan2,"(2048,), (2048,)",4.0,599,"(599, 532)"
atan2,"(4096,), (4096,)",4.0,600,"(600, 530)"
atan2,"(8192,), (8192,)",4.0,602,"(602, 589)"
atan2,"(16384,), (16384,)",4.0,604,"(604, 535)"
atan2,"(32768,), (32768,)",4.0,595,"(595, 538)"
atan2,"(65536,), (65536,)",6.0,574,"(574, 532)"
atan2,"(131072,), (131072,)",6.0,542,"(542, 511)"
atan2,"(262144,), (262144,)",10.0,596,"(596, 596)"
atan2,"(524288,), (524288,)",16.0,546,"(546, 546)"
atan2,"(1048576,), (1048576,)",36.0,537,"(537, 537)"
atan2,"(2097152,), (2097152,)",64.0,546,"(546, 546)"
atan2,"(4194304,), (4194304,)",124.0,543,"(543, 543)"
atan2,"(8388608,), (8388608,)",244.25274725274724,546,"(546, 546)"
atan2,"(16777216,), (16777216,)",484.25391304347824,575,"(575, 575)"
atan2,"(33554432,), (33554432,)",959.5969868173258,531,"(531, 531)"
atan2,"(67108864,), (67108864,)",1925.6083650190114,526,"(526, 526)"
atan2,"(134217728,), (134217728,)",3910.3136531365312,542,"(542, 542)"
atan2,"(268435456,), (268435456,)",7786.064056939502,562,"(562, 562)"
atan2,"(536870912,), (536870912,)",15557.69900990099,505,"(505, 505)"
