op,shape,time,valid,count
batch_matmul,"(2,1,1), (2,1,1)",4.0,602,"(602, 602)"
batch_matmul,"(2,1,1), (2,1,2)",4.0,603,"(603, 603)"
batch_matmul,"(2,1,1), (2,1,4)",4.0,604,"(604, 604)"
batch_matmul,"(2,1,1), (2,1,8)",4.0,602,"(602, 602)"
batch_matmul,"(2,1,1), (2,1,16)",4.0,602,"(602, 602)"
batch_matmul,"(2,1,1), (2,1,32)",4.0,600,"(600, 600)"
batch_matmul,"(2,1,1), (2,1,64)",4.0,604,"(604, 604)"
batch_matmul,"(2,1,1), (2,1,128)",4.0,607,"(607, 607)"
batch_matmul,"(2,1,1), (2,1,256)",4.0,605,"(605, 605)"
batch_matmul,"(2,1,1), (2,1,512)",4.0,602,"(602, 602)"
batch_matmul,"(2,1,1), (2,1,1024)",4.0,604,"(604, 604)"
batch_matmul,"(2,1,1), (2,1,2048)",4.0,601,"(601, 601)"
batch_matmul,"(2,1,1), (2,1,4096)",4.0,598,"(598, 598)"
batch_matmul,"(2,1,1), (2,1,8192)",6.0,600,"(600, 600)"
batch_matmul,"(2,1,1), (2,1,16384)",8.0,599,"(599, 599)"
batch_matmul,"(2,1,1), (2,1,32768)",10.0,604,"(604, 604)"
batch_matmul,"(2,1,1), (2,1,65536)",16.0,604,"(604, 604)"
batch_matmul,"(2,1,1), (2,1,131072)",28.0,606,"(606, 606)"
batch_matmul,"(2,1,1), (2,1,262144)",52.0,603,"(603, 603)"
batch_matmul,"(2,1,1), (2,1,524288)",120.0,602,"(602, 602)"
batch_matmul,"(2,1,1), (2,1,1048576)",230.0,605,"(605, 605)"
batch_matmul,"(2,1,1), (2,1,2097152)",414.0,603,"(603, 603)"
batch_matmul,"(2,1,1), (2,1,4194304)",817.6,608,"(608, 608)"
batch_matmul,"(2,1,1), (2,1,8388608)",1629.7,605,"(605, 605)"
batch_matmul,"(2,1,1), (2,1,16777216)",3260.0,603,"(603, 603)"
batch_matmul,"(2,1,1), (2,1,33554432)",6532.0,603,"(603, 603)"
batch_matmul,"(2,1,1), (2,1,67108864)",13106.7,607,"(607, 607)"
batch_matmul,"(2,1,1), (2,1,134217728)",26088.6,607,"(607, 607)"
batch_matmul,"(2,1,1), (2,1,268435456)",52195.5,604,"(604, 604)"
batch_matmul,"(2,2,1), (2,1,1)",4.0,606,"(606, 606)"
batch_matmul,"(2,2,1), (2,1,2)",4.0,608,"(608, 608)"
batch_matmul,"(2,2,1), (2,1,4)",4.0,605,"(605, 605)"
batch_matmul,"(2,2,1), (2,1,8)",4.0,603,"(603, 603)"
batch_matmul,"(2,2,1), (2,1,16)",4.0,606,"(606, 606)"
batch_matmul,"(2,2,1), (2,1,32)",4.0,607,"(607, 607)"
batch_matmul,"(2,2,1), (2,1,64)",4.0,607,"(607, 607)"
batch_matmul,"(2,2,1), (2,1,128)",4.0,607,"(607, 607)"
batch_matmul,"(2,2,1), (2,1,256)",4.0,602,"(602, 602)"
batch_matmul,"(2,2,1), (2,1,512)",4.0,608,"(608, 608)"
batch_matmul,"(2,2,1), (2,1,1024)",4.0,605,"(605, 605)"
batch_matmul,"(2,2,1), (2,1,2048)",4.0,605,"(605, 605)"
batch_matmul,"(2,2,1), (2,1,4096)",4.0,608,"(608, 608)"
batch_matmul,"(2,2,1), (2,1,8192)",6.0,606,"(606, 606)"
batch_matmul,"(2,2,1), (2,1,16384)",8.0,605,"(605, 605)"
batch_matmul,"(2,2,1), (2,1,32768)",10.0,605,"(605, 605)"
batch_matmul,"(2,2,1), (2,1,65536)",16.0,603,"(603, 603)"
batch_matmul,"(2,2,1), (2,1,131072)",28.0,604,"(604, 604)"
batch_matmul,"(2,2,1), (2,1,262144)",54.0,604,"(604, 604)"
batch_matmul,"(2,2,1), (2,1,524288)",120.0,608,"(608, 608)"
batch_matmul,"(2,2,1), (2,1,1048576)",240.0,558,"(1116, 558)"
batch_matmul,"(2,2,1), (2,1,2097152)",426.0,563,"(1689, 563)"
batch_matmul,"(2,2,1), (2,1,4194304)",850.2,569,"(2845, 569)"
batch_matmul,"(2,2,1), (2,1,8388608)",1703.2,591,"(5319, 591)"
batch_matmul,"(2,2,1), (2,1,16777216)",3412.9,594,"(10098, 594)"
batch_matmul,"(2,2,1), (2,1,33554432)",6787.0,594,"(19602, 594)"
batch_matmul,"(2,2,1), (2,1,67108864)",13581.8,591,"(38415, 591)"
batch_matmul,"(2,2,1), (2,1,134217728)",27251.8,594,"(76626, 594)"
batch_matmul,"(2,4,1), (2,1,1)",18.0,600,"(600, 600)"
batch_matmul,"(2,4,1), (2,1,2)",4.0,606,"(606, 606)"
batch_matmul,"(2,4,1), (2,1,4)",4.0,606,"(606, 606)"
batch_matmul,"(2,4,1), (2,1,8)",4.0,604,"(604, 604)"
batch_matmul,"(2,4,1), (2,1,16)",4.0,605,"(605, 605)"
batch_matmul,"(2,4,1), (2,1,32)",4.0,603,"(603, 603)"
batch_matmul,"(2,4,1), (2,1,64)",4.0,607,"(607, 607)"
batch_matmul,"(2,4,1), (2,1,128)",4.0,609,"(609, 609)"
batch_matmul,"(2,4,1), (2,1,256)",4.0,607,"(607, 607)"
batch_matmul,"(2,4,1), (2,1,512)",4.0,610,"(610, 610)"
batch_matmul,"(2,4,1), (2,1,1024)",4.0,606,"(606, 606)"
batch_matmul,"(2,4,1), (2,1,2048)",4.0,606,"(606, 606)"
batch_matmul,"(2,4,1), (2,1,4096)",4.0,607,"(607, 607)"
batch_matmul,"(2,4,1), (2,1,8192)",6.0,605,"(605, 605)"
batch_matmul,"(2,4,1), (2,1,16384)",8.0,605,"(605, 605)"
batch_matmul,"(2,4,1), (2,1,32768)",10.0,606,"(606, 606)"
batch_matmul,"(2,4,1), (2,1,65536)",16.0,608,"(608, 608)"
batch_matmul,"(2,4,1), (2,1,131072)",28.0,608,"(608, 608)"
batch_matmul,"(2,4,1), (2,1,262144)",64.0,609,"(609, 609)"
batch_matmul,"(2,4,1), (2,1,524288)",124.0,606,"(606, 606)"
batch_matmul,"(2,4,1), (2,1,1048576)",247.3,572,"(1144, 572)"
batch_matmul,"(2,4,1), (2,1,2097152)",439.6,539,"(1617, 539)"
batch_matmul,"(2,4,1), (2,1,4194304)",887.8,564,"(2820, 564)"
batch_matmul,"(2,4,1), (2,1,8388608)",1781.3,587,"(5283, 587)"
batch_matmul,"(2,4,1), (2,1,16777216)",3573.1,585,"(9945, 585)"
batch_matmul,"(2,4,1), (2,1,33554432)",7130.0,590,"(19470, 590)"
batch_matmul,"(2,4,1), (2,1,67108864)",14372.3,590,"(38350, 590)"
