op,shape,time,valid,count
broadcast_like,"(1,1), (1,2)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,4)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,8)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,16)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,32)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,64)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,128)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,256)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,512)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,1024)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,2048)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,4096)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,8192)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,16384)",4.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,32768)",4.0,600,"(600, 600)"
broadcast_like,"(1,1), (1,65536)",6.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,131072)",6.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,262144)",8.0,600,"(600, 600)"
broadcast_like,"(1,1), (1,524288)",12.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,1048576)",20.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,2097152)",37.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,4194304)",69.3,602,"(602, 602)"
broadcast_like,"(1,1), (1,8388608)",132.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,16777216)",256.0,602,"(602, 602)"
broadcast_like,"(1,1), (1,33554432)",472.8,602,"(602, 602)"
broadcast_like,"(1,1), (1,67108864)",938.8,602,"(602, 602)"
broadcast_like,"(1,1), (1,134217728)",1872.3,602,"(602, 602)"
broadcast_like,"(1,1), (1,268435456)",3749.3,602,"(602, 602)"
broadcast_like,"(1,1), (1,536870912)",7603.3,602,"(602, 602)"
broadcast_like,"(2,1), (2,2)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,4)",4.0,600,"(600, 600)"
broadcast_like,"(2,1), (2,8)",4.0,600,"(600, 600)"
broadcast_like,"(2,1), (2,16)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,32)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,64)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,128)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,256)",4.0,600,"(600, 600)"
broadcast_like,"(2,1), (2,512)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,1024)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,2048)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,4096)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,8192)",4.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,16384)",4.1,602,"(602, 602)"
broadcast_like,"(2,1), (2,32768)",6.0,600,"(600, 600)"
broadcast_like,"(2,1), (2,65536)",6.0,600,"(600, 600)"
broadcast_like,"(2,1), (2,131072)",8.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,262144)",12.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,524288)",20.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,1048576)",36.6,602,"(602, 602)"
broadcast_like,"(2,1), (2,2097152)",68.7,602,"(602, 602)"
broadcast_like,"(2,1), (2,4194304)",132.0,602,"(602, 602)"
broadcast_like,"(2,1), (2,8388608)",256.0,600,"(600, 600)"
broadcast_like,"(2,1), (2,16777216)",476.7,602,"(602, 602)"
broadcast_like,"(2,1), (2,33554432)",948.1,602,"(602, 602)"
broadcast_like,"(2,1), (2,67108864)",1906.3,600,"(600, 600)"
broadcast_like,"(2,1), (2,134217728)",3835.4,600,"(600, 600)"
broadcast_like,"(2,1), (2,268435456)",7692.7,602,"(602, 602)"
broadcast_like,"(4,1), (4,2)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,4)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,8)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,16)",4.0,600,"(600, 600)"
broadcast_like,"(4,1), (4,32)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,64)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,128)",4.0,600,"(600, 600)"
broadcast_like,"(4,1), (4,256)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,512)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,1024)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,2048)",4.0,600,"(600, 600)"
broadcast_like,"(4,1), (4,4096)",4.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,8192)",4.1,600,"(600, 600)"
broadcast_like,"(4,1), (4,16384)",6.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,32768)",6.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,65536)",8.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,131072)",12.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,262144)",20.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,524288)",37.3,602,"(602, 602)"
broadcast_like,"(4,1), (4,1048576)",70.0,600,"(600, 600)"
broadcast_like,"(4,1), (4,2097152)",132.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,4194304)",256.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,8388608)",487.5,602,"(602, 602)"
broadcast_like,"(4,1), (4,16777216)",964.2,602,"(602, 602)"
broadcast_like,"(4,1), (4,33554432)",1933.0,602,"(602, 602)"
broadcast_like,"(4,1), (4,67108864)",3877.2,602,"(602, 602)"
broadcast_like,"(4,1), (4,134217728)",7717.9,602,"(602, 602)"
broadcast_like,"(8,1), (8,2)",4.0,602,"(602, 602)"
broadcast_like,"(8,1), (8,4)",4.0,602,"(602, 602)"
