op,shape,time,valid,count
dropout,"(1,)",4.0,600,"(600, 600)"
dropout,"(2,)",4.0,602,"(602, 602)"
dropout,"(4,)",4.0,602,"(602, 602)"
dropout,"(8,)",4.0,602,"(602, 602)"
dropout,"(16,)",4.0,602,"(602, 602)"
dropout,"(32,)",4.0,602,"(602, 602)"
dropout,"(64,)",4.0,602,"(602, 602)"
dropout,"(128,)",4.0,600,"(600, 600)"
dropout,"(256,)",4.0,602,"(602, 602)"
dropout,"(512,)",4.0,602,"(602, 602)"
dropout,"(1024,)",4.0,602,"(602, 602)"
dropout,"(2048,)",4.0,602,"(602, 602)"
dropout,"(4096,)",4.0,602,"(602, 602)"
dropout,"(8192,)",4.0,602,"(602, 602)"
dropout,"(16384,)",4.0,602,"(602, 602)"
dropout,"(32768,)",4.0,602,"(602, 602)"
dropout,"(65536,)",4.0,600,"(600, 600)"
dropout,"(131072,)",6.0,602,"(602, 602)"
dropout,"(262144,)",6.0,602,"(602, 602)"
dropout,"(524288,)",8.0,602,"(602, 602)"
dropout,"(1048576,)",26.3,602,"(602, 602)"
dropout,"(2097152,)",52.0,602,"(602, 602)"
dropout,"(4194304,)",96.0,602,"(602, 602)"
dropout,"(8388608,)",187.6,602,"(602, 602)"
dropout,"(16777216,)",368.6,602,"(602, 602)"
dropout,"(33554432,)",737.6,602,"(602, 602)"
dropout,"(67108864,)",1486.8,602,"(602, 602)"
dropout,"(134217728,)",2990.0,602,"(602, 602)"
dropout,"(268435456,)",6033.6,602,"(602, 602)"
dropout,"(536870912,)",12113.9,602,"(602, 602)"
