op,shape,time,valid,count
nll,"(1,1), (1,)",4.0,602,"(602, 602)"
nll,"(1,2), (1,)",4.0,598,"(598, 598)"
nll,"(1,4), (1,)",4.0,602,"(602, 602)"
nll,"(1,8), (1,)",4.0,600,"(600, 600)"
nll,"(1,16), (1,)",4.0,602,"(602, 602)"
nll,"(1,32), (1,)",4.0,600,"(600, 600)"
nll,"(1,64), (1,)",4.0,600,"(600, 600)"
nll,"(1,128), (1,)",4.0,602,"(602, 602)"
nll,"(1,256), (1,)",4.0,602,"(602, 602)"
nll,"(1,512), (1,)",4.0,602,"(602, 602)"
nll,"(1,1024), (1,)",4.0,602,"(602, 602)"
nll,"(1,2048), (1,)",4.0,602,"(602, 602)"
nll,"(1,4096), (1,)",4.0,602,"(602, 602)"
nll,"(1,8192), (1,)",4.0,602,"(602, 602)"
nll,"(1,16384), (1,)",4.0,602,"(602, 602)"
nll,"(1,32768), (1,)",4.0,602,"(602, 602)"
nll,"(1,65536), (1,)",4.0,602,"(602, 602)"
nll,"(1,131072), (1,)",4.0,602,"(602, 602)"
nll,"(1,262144), (1,)",4.0,602,"(602, 602)"
nll,"(1,524288), (1,)",4.0,602,"(602, 602)"
nll,"(1,1048576), (1,)",4.0,602,"(602, 602)"
nll,"(1,2097152), (1,)",4.0,602,"(602, 602)"
nll,"(1,4194304), (1,)",4.0,602,"(602, 602)"
nll,"(1,8388608), (1,)",4.0,602,"(602, 602)"
nll,"(1,16777216), (1,)",4.0,602,"(602, 602)"
nll,"(1,33554432), (1,)",4.0,600,"(600, 600)"
nll,"(1,67108864), (1,)",4.0,602,"(602, 602)"
nll,"(1,134217728), (1,)",4.0,600,"(600, 600)"
nll,"(1,268435456), (1,)",4.0,602,"(602, 602)"
nll,"(1,536870912), (1,)",4.0,600,"(600, 600)"
nll,"(2,1), (2,)",4.0,602,"(602, 602)"
nll,"(2,2), (2,)",4.0,602,"(602, 602)"
nll,"(2,4), (2,)",4.0,602,"(602, 602)"
nll,"(2,8), (2,)",4.0,602,"(602, 602)"
nll,"(2,16), (2,)",4.0,602,"(602, 602)"
nll,"(2,32), (2,)",4.0,602,"(602, 602)"
nll,"(2,64), (2,)",4.0,602,"(602, 602)"
nll,"(2,128), (2,)",4.0,602,"(602, 602)"
nll,"(2,256), (2,)",4.0,602,"(602, 602)"
nll,"(2,512), (2,)",4.0,602,"(602, 602)"
nll,"(2,1024), (2,)",4.0,600,"(600, 600)"
nll,"(2,2048), (2,)",4.0,600,"(600, 600)"
nll,"(2,4096), (2,)",4.0,602,"(602, 602)"
nll,"(2,8192), (2,)",4.0,600,"(600, 600)"
nll,"(2,16384), (2,)",4.0,602,"(602, 602)"
nll,"(2,32768), (2,)",4.0,600,"(600, 600)"
nll,"(2,65536), (2,)",4.0,602,"(602, 602)"
nll,"(2,131072), (2,)",4.0,600,"(600, 600)"
nll,"(2,262144), (2,)",4.0,602,"(602, 602)"
nll,"(2,524288), (2,)",4.0,602,"(602, 602)"
nll,"(2,1048576), (2,)",4.0,602,"(602, 602)"
nll,"(2,2097152), (2,)",4.0,602,"(602, 602)"
nll,"(2,4194304), (2,)",4.0,602,"(602, 602)"
nll,"(2,8388608), (2,)",4.0,602,"(602, 602)"
nll,"(2,16777216), (2,)",4.0,602,"(602, 602)"
nll,"(2,33554432), (2,)",4.0,602,"(602, 602)"
nll,"(2,67108864), (2,)",4.0,602,"(602, 602)"
nll,"(2,134217728), (2,)",4.0,602,"(602, 602)"
nll,"(2,268435456), (2,)",4.0,602,"(602, 602)"
nll,"(4,1), (4,)",4.0,602,"(602, 602)"
nll,"(4,2), (4,)",4.0,602,"(602, 602)"
nll,"(4,4), (4,)",4.0,600,"(600, 600)"
nll,"(4,8), (4,)",4.0,602,"(602, 602)"
nll,"(4,16), (4,)",4.0,602,"(602, 602)"
nll,"(4,32), (4,)",4.0,600,"(600, 600)"
nll,"(4,64), (4,)",4.0,602,"(602, 602)"
nll,"(4,128), (4,)",4.0,602,"(602, 602)"
nll,"(4,256), (4,)",4.0,600,"(600, 600)"
nll,"(4,512), (4,)",4.0,602,"(602, 602)"
nll,"(4,1024), (4,)",4.0,602,"(602, 602)"
nll,"(4,2048), (4,)",4.0,602,"(602, 602)"
nll,"(4,4096), (4,)",4.0,602,"(602, 602)"
nll,"(4,8192), (4,)",4.0,602,"(602, 602)"
nll,"(4,16384), (4,)",4.0,602,"(602, 602)"
nll,"(4,32768), (4,)",4.0,602,"(602, 602)"
nll,"(4,65536), (4,)",4.0,602,"(602, 602)"
nll,"(4,131072), (4,)",4.0,602,"(602, 602)"
nll,"(4,262144), (4,)",4.0,602,"(602, 602)"
nll,"(4,524288), (4,)",4.0,602,"(602, 602)"
nll,"(4,1048576), (4,)",4.0,602,"(602, 602)"
nll,"(4,2097152), (4,)",4.0,602,"(602, 602)"
nll,"(4,4194304), (4,)",4.0,602,"(602, 602)"
nll,"(4,8388608), (4,)",4.0,602,"(602, 602)"
nll,"(4,16777216), (4,)",4.0,602,"(602, 602)"
nll,"(4,33554432), (4,)",4.0,602,"(602, 602)"
nll,"(4,67108864), (4,)",4.0,602,"(602, 602)"
