op,shape,time,valid,count
abs,"(1,)",4.0,600,"(600, 600)"
abs,"(2,)",4.0,600,"(600, 600)"
abs,"(4,)",4.0,600,"(600, 600)"
abs,"(8,)",4.0,600,"(600, 600)"
abs,"(16,)",4.0,600,"(600, 600)"
abs,"(32,)",4.0,600,"(600, 600)"
abs,"(64,)",4.0,600,"(600, 600)"
abs,"(128,)",4.0,600,"(600, 600)"
abs,"(256,)",4.0,600,"(600, 600)"
abs,"(512,)",4.0,600,"(600, 600)"
abs,"(1024,)",4.0,600,"(600, 600)"
abs,"(2048,)",4.0,600,"(600, 600)"
abs,"(4096,)",4.0,600,"(600, 600)"
abs,"(8192,)",4.0,600,"(600, 600)"
abs,"(16384,)",4.0,600,"(600, 600)"
abs,"(32768,)",4.0,600,"(600, 600)"
abs,"(65536,)",4.0,600,"(600, 600)"
abs,"(131072,)",4.0,600,"(600, 600)"
abs,"(262144,)",6.0,600,"(600, 600)"
abs,"(524288,)",6.0,600,"(600, 600)"
abs,"(1048576,)",20.0,600,"(600, 600)"
abs,"(2097152,)",45.13333333333333,600,"(600, 600)"
abs,"(4194304,)",85.26,600,"(600, 600)"
abs,"(8388608,)",164.73,600,"(600, 600)"
abs,"(16777216,)",323.22,600,"(600, 600)"
abs,"(33554432,)",640.5633333333334,600,"(600, 600)"
abs,"(67108864,)",1274.58,600,"(600, 600)"
abs,"(134217728,)",2543.6566666666668,600,"(600, 600)"
abs,"(268435456,)",5088.56,600,"(600, 600)"
abs,"(536870912,)",10187.766666666666,600,"(600, 600)"
acos,"(1,)",4.0,600,"(600, 600)"
acos,"(2,)",4.0,600,"(600, 600)"
acos,"(4,)",4.0,600,"(600, 600)"
acos,"(8,)",4.0,600,"(600, 600)"
acos,"(16,)",4.0,600,"(600, 600)"
acos,"(32,)",4.0,600,"(600, 600)"
acos,"(64,)",4.0,600,"(600, 600)"
acos,"(128,)",4.0,600,"(600, 600)"
acos,"(256,)",4.0,600,"(600, 600)"
acos,"(512,)",4.0,600,"(600, 600)"
acos,"(1024,)",6.0,600,"(600, 600)"
acos,"(2048,)",6.0,600,"(600, 600)"
acos,"(4096,)",6.0,600,"(600, 600)"
acos,"(8192,)",6.0,600,"(600, 600)"
acos,"(16384,)",6.0,600,"(600, 600)"
acos,"(32768,)",6.0,600,"(600, 600)"
acos,"(65536,)",6.0,600,"(600, 600)"
acos,"(131072,)",6.0,600,"(600, 600)"
acos,"(262144,)",8.0,600,"(600, 600)"
acos,"(524288,)",10.0,600,"(600, 600)"
acos,"(1048576,)",22.0,600,"(600, 600)"
acos,"(2097152,)",46.0,600,"(600, 600)"
acos,"(4194304,)",86.0,600,"(600, 600)"
acos,"(8388608,)",166.0,600,"(600, 600)"
acos,"(16777216,)",324.00333333333333,600,"(600, 600)"
acos,"(33554432,)",642.5733333333334,600,"(600, 600)"
acos,"(67108864,)",1277.75,600,"(600, 600)"
acos,"(134217728,)",2549.84,600,"(600, 600)"
acos,"(268435456,)",5101.0233333333335,600,"(600, 600)"
acos,"(536870912,)",10212.72,600,"(600, 600)"
acosh,"(1,)",4.0,600,"(600, 600)"
acosh,"(2,)",4.0,600,"(600, 600)"
acosh,"(4,)",4.0,600,"(600, 600)"
acosh,"(8,)",4.0,600,"(600, 600)"
acosh,"(16,)",4.0,600,"(600, 600)"
acosh,"(32,)",4.0,600,"(600, 600)"
acosh,"(64,)",6.0,600,"(600, 600)"
acosh,"(128,)",6.0,600,"(600, 600)"
acosh,"(256,)",6.0,600,"(600, 600)"
acosh,"(512,)",6.0,600,"(600, 600)"
acosh,"(1024,)",6.0,600,"(600, 600)"
acosh,"(2048,)",6.0,600,"(600, 600)"
acosh,"(4096,)",6.0,600,"(600, 600)"
acosh,"(8192,)",6.0,600,"(600, 600)"
acosh,"(16384,)",6.0,600,"(600, 600)"
acosh,"(32768,)",6.0,600,"(600, 600)"
acosh,"(65536,)",6.0,600,"(600, 600)"
acosh,"(131072,)",6.0,600,"(600, 600)"
acosh,"(262144,)",8.0,600,"(600, 600)"
acosh,"(524288,)",10.0,600,"(600, 600)"
acosh,"(1048576,)",22.0,600,"(600, 600)"
acosh,"(2097152,)",46.0,600,"(600, 600)"
acosh,"(4194304,)",86.0,600,"(600, 600)"
acosh,"(8388608,)",166.0,600,"(600, 600)"
acosh,"(16777216,)",324.18,600,"(600, 600)"
acosh,"(33554432,)",642.6633333333333,600,"(600, 600)"
acosh,"(67108864,)",1278.57,600,"(600, 600)"
acosh,"(134217728,)",2550.99,600,"(600, 600)"
acosh,"(268435456,)",5103.526666666667,600,"(600, 600)"
acosh,"(536870912,)",10216.16,600,"(600, 600)"
asin,"(1,)",4.0,600,"(600, 600)"
asin,"(2,)",4.0,600,"(600, 600)"
asin,"(4,)",4.0,600,"(600, 600)"
