op,shape,time,valid,count
matmul,"(1,1), (1,1)",4.0,594,"(594, 594)"
matmul,"(1,1), (1,2)",4.0,598,"(598, 598)"
matmul,"(1,1), (1,4)",4.0,599,"(599, 599)"
matmul,"(1,1), (1,8)",4.0,599,"(599, 599)"
matmul,"(1,1), (1,16)",4.0,601,"(601, 601)"
matmul,"(1,1), (1,32)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,64)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,128)",4.0,601,"(601, 601)"
matmul,"(1,1), (1,256)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,512)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,1024)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,2048)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,4096)",4.0,601,"(601, 601)"
matmul,"(1,1), (1,8192)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,16384)",6.0,606,"(606, 606)"
matmul,"(1,1), (1,32768)",8.0,606,"(606, 606)"
matmul,"(1,1), (1,65536)",10.0,604,"(604, 604)"
matmul,"(1,1), (1,131072)",16.0,602,"(602, 602)"
matmul,"(1,1), (1,262144)",28.0,606,"(606, 606)"
matmul,"(1,1), (1,524288)",52.0,602,"(602, 602)"
matmul,"(1,1), (1,1048576)",118.0,606,"(606, 606)"
matmul,"(1,1), (1,2097152)",230.0,602,"(602, 602)"
matmul,"(1,1), (1,4194304)",408.0,604,"(604, 604)"
matmul,"(1,1), (1,8388608)",807.2,604,"(604, 604)"
matmul,"(1,1), (1,16777216)",1609.8,604,"(604, 604)"
matmul,"(1,1), (1,33554432)",3218.0,606,"(606, 606)"
matmul,"(1,1), (1,67108864)",6465.0,604,"(604, 604)"
matmul,"(1,1), (1,134217728)",12919.0,604,"(604, 604)"
matmul,"(1,1), (1,268435456)",25964.1,604,"(604, 604)"
matmul,"(1,1), (1,536870912)",51985.0,606,"(606, 606)"
matmul,"(2,1), (1,1)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,2)",4.0,598,"(598, 598)"
matmul,"(2,1), (1,4)",4.0,603,"(603, 603)"
matmul,"(2,1), (1,8)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,16)",4.0,603,"(603, 603)"
matmul,"(2,1), (1,32)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,64)",4.0,603,"(603, 603)"
matmul,"(2,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,256)",4.0,600,"(600, 600)"
matmul,"(2,1), (1,512)",4.0,606,"(606, 606)"
matmul,"(2,1), (1,1024)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,2048)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,4096)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,8192)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,16384)",6.0,606,"(606, 606)"
matmul,"(2,1), (1,32768)",8.0,606,"(606, 606)"
matmul,"(2,1), (1,65536)",10.0,604,"(604, 604)"
matmul,"(2,1), (1,131072)",16.0,604,"(604, 604)"
matmul,"(2,1), (1,262144)",28.0,606,"(606, 606)"
matmul,"(2,1), (1,524288)",58.0,606,"(606, 606)"
matmul,"(2,1), (1,1048576)",126.0,589,"(1178, 589)"
matmul,"(2,1), (1,2097152)",246.0,562,"(1686, 562)"
matmul,"(2,1), (1,4194304)",434.0,549,"(2745, 549)"
matmul,"(2,1), (1,8388608)",866.4,582,"(5238, 582)"
matmul,"(2,1), (1,16777216)",1756.3,593,"(10081, 593)"
matmul,"(2,1), (1,33554432)",3471.1,595,"(19635, 595)"
matmul,"(2,1), (1,67108864)",6895.1,592,"(38480, 592)"
matmul,"(2,1), (1,134217728)",13794.5,594,"(76626, 594)"
matmul,"(2,1), (1,268435456)",27608.5,593,"(152401, 593)"
matmul,"(4,1), (1,1)",15.0,606,"(606, 606)"
matmul,"(4,1), (1,2)",4.0,602,"(602, 602)"
matmul,"(4,1), (1,4)",4.0,602,"(602, 602)"
matmul,"(4,1), (1,8)",4.0,603,"(603, 603)"
matmul,"(4,1), (1,16)",4.0,602,"(602, 602)"
matmul,"(4,1), (1,32)",4.0,602,"(602, 602)"
matmul,"(4,1), (1,64)",4.0,603,"(603, 603)"
matmul,"(4,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(4,1), (1,256)",4.0,599,"(599, 599)"
matmul,"(4,1), (1,512)",4.0,601,"(601, 601)"
matmul,"(4,1), (1,1024)",4.0,602,"(602, 602)"
matmul,"(4,1), (1,2048)",4.0,602,"(602, 602)"
matmul,"(4,1), (1,4096)",4.0,606,"(606, 606)"
matmul,"(4,1), (1,8192)",4.0,604,"(604, 604)"
matmul,"(4,1), (1,16384)",6.0,604,"(604, 604)"
matmul,"(4,1), (1,32768)",8.0,604,"(604, 604)"
matmul,"(4,1), (1,65536)",10.0,604,"(604, 604)"
matmul,"(4,1), (1,131072)",16.0,606,"(606, 606)"
matmul,"(4,1), (1,262144)",28.0,604,"(604, 604)"
matmul,"(4,1), (1,524288)",64.0,604,"(604, 604)"
matmul,"(4,1), (1,1048576)",128.2,578,"(1156, 578)"
matmul,"(4,1), (1,2097152)",250.0,565,"(1695, 565)"
matmul,"(4,1), (1,4194304)",448.7,541,"(2705, 541)"
matmul,"(4,1), (1,8388608)",896.4,577,"(5193, 577)"
matmul,"(4,1), (1,16777216)",1796.9,583,"(9911, 583)"
matmul,"(4,1), (1,33554432)",3589.5,587,"(19371, 587)"
matmul,"(4,1), (1,67108864)",7256.6,588,"(38220, 588)"
matmul,"(4,1), (1,134217728)",14432.7,588,"(75852, 588)"
matmul,"(8,1), (1,1)",5.9,602,"(602, 602)"
matmul,"(8,1), (1,2)",4.0,600,"(600, 600)"
matmul,"(8,1), (1,4)",4.0,601,"(601, 601)"
matmul,"(8,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(8,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(8,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(8,1), (1,64)",4.0,602,"(602, 602)"
matmul,"(8,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(8,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(8,1), (1,512)",4.0,603,"(603, 603)"
matmul,"(8,1), (1,1024)",4.0,601,"(601, 601)"
matmul,"(8,1), (1,2048)",4.0,602,"(602, 602)"
matmul,"(8,1), (1,4096)",4.0,603,"(603, 603)"
matmul,"(8,1), (1,8192)",4.0,603,"(603, 603)"
matmul,"(8,1), (1,16384)",6.0,604,"(604, 604)"
matmul,"(8,1), (1,32768)",8.0,602,"(602, 602)"
matmul,"(8,1), (1,65536)",10.0,602,"(602, 602)"
matmul,"(8,1), (1,131072)",16.0,606,"(606, 606)"
matmul,"(8,1), (1,262144)",37.1,604,"(604, 604)"
matmul,"(8,1), (1,524288)",68.0,606,"(606, 606)"
matmul,"(8,1), (1,1048576)",138.0,586,"(1172, 586)"
matmul,"(8,1), (1,2097152)",270.0,542,"(1626, 542)"
matmul,"(8,1), (1,4194304)",516.6,523,"(2615, 523)"
matmul,"(8,1), (1,8388608)",1001.1,579,"(5211, 579)"
matmul,"(8,1), (1,16777216)",1994.2,582,"(9894, 582)"
matmul,"(8,1), (1,33554432)",3988.5,587,"(19371, 587)"
matmul,"(8,1), (1,67108864)",8018.2,589,"(38285, 589)"
matmul,"(16,1), (1,1)",6.9,604,"(604, 604)"
matmul,"(16,1), (1,2)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,4)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,8)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,64)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,512)",4.0,601,"(601, 601)"
matmul,"(16,1), (1,1024)",4.0,608,"(608, 608)"
matmul,"(16,1), (1,2048)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,4096)",4.0,606,"(606, 606)"
matmul,"(16,1), (1,8192)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,16384)",6.0,606,"(606, 606)"
matmul,"(16,1), (1,32768)",8.0,606,"(606, 606)"
matmul,"(16,1), (1,65536)",12.0,604,"(604, 604)"
matmul,"(16,1), (1,131072)",28.0,606,"(606, 606)"
matmul,"(16,1), (1,262144)",64.0,598,"(598, 598)"
matmul,"(16,1), (1,524288)",122.0,601,"(601, 601)"
matmul,"(16,1), (1,1048576)",245.4,573,"(573, 573, 573)"
matmul,"(16,1), (1,2097152)",481.3,570,"(1140, 570, 570)"
matmul,"(16,1), (1,4194304)",960.8,542,"(2168, 542, 542)"
matmul,"(16,1), (1,8388608)",1916.6,563,"(4504, 563, 563)"
matmul,"(16,1), (1,16777216)",3852.4,576,"(9216, 576, 576)"
matmul,"(16,1), (1,33554432)",7733.3,585,"(18720, 585, 585)"
matmul,"(32,1), (1,1)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,2)",4.0,602,"(602, 602)"
matmul,"(32,1), (1,4)",4.0,602,"(602, 602)"
matmul,"(32,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,16)",4.0,602,"(602, 602)"
matmul,"(32,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,64)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(32,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,512)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(32,1), (1,2048)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,4096)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,8192)",6.0,606,"(606, 606)"
matmul,"(32,1), (1,16384)",8.0,606,"(606, 606)"
matmul,"(32,1), (1,32768)",10.0,606,"(606, 606)"
matmul,"(32,1), (1,65536)",26.0,597,"(597, 597)"
matmul,"(32,1), (1,131072)",54.0,599,"(599, 599)"
matmul,"(32,1), (1,262144)",93.5,597,"(597, 597)"
matmul,"(32,1), (1,524288)",183.8,603,"(603, 603)"
matmul,"(32,1), (1,1048576)",358.7,569,"(569, 569, 569)"
matmul,"(32,1), (1,2097152)",715.5,578,"(1156, 578, 578)"
matmul,"(32,1), (1,4194304)",1434.0,547,"(2188, 547, 547)"
matmul,"(32,1), (1,8388608)",2871.5,554,"(4432, 554, 554)"
matmul,"(32,1), (1,16777216)",5739.6,571,"(9136, 571, 571)"
matmul,"(64,1), (1,1)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,2)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,4)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,16)",4.0,608,"(608, 608)"
matmul,"(64,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,64)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(64,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,512)",4.0,606,"(606, 606)"
matmul,"(64,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(64,1), (1,2048)",6.0,604,"(604, 604)"
matmul,"(64,1), (1,4096)",6.0,604,"(604, 604)"
matmul,"(64,1), (1,8192)",8.0,604,"(604, 604)"
matmul,"(64,1), (1,16384)",10.0,604,"(604, 604)"
matmul,"(64,1), (1,32768)",26.0,600,"(600, 600)"
matmul,"(64,1), (1,65536)",46.0,594,"(594, 594)"
matmul,"(64,1), (1,131072)",86.0,601,"(601, 601)"
matmul,"(64,1), (1,262144)",172.0,595,"(595, 595)"
matmul,"(64,1), (1,524288)",336.0,599,"(599, 599)"
matmul,"(64,1), (1,1048576)",668.0,563,"(563, 563, 563)"
matmul,"(64,1), (1,2097152)",1335.2,542,"(1084, 542, 542)"
matmul,"(64,1), (1,4194304)",2669.6,552,"(2208, 552, 552)"
matmul,"(64,1), (1,8388608)",5323.8,548,"(4384, 548, 548)"
matmul,"(128,1), (1,1)",4.0,606,"(606, 606)"
matmul,"(128,1), (1,2)",4.0,606,"(606, 606)"
matmul,"(128,1), (1,4)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,32)",4.0,608,"(608, 608)"
matmul,"(128,1), (1,64)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(128,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,512)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(128,1), (1,2048)",6.0,604,"(604, 604)"
matmul,"(128,1), (1,4096)",8.0,606,"(606, 606)"
matmul,"(128,1), (1,8192)",10.0,606,"(606, 606)"
matmul,"(128,1), (1,16384)",26.0,600,"(600, 600)"
matmul,"(128,1), (1,32768)",46.0,593,"(593, 593)"
matmul,"(128,1), (1,65536)",84.0,598,"(598, 598)"
matmul,"(128,1), (1,131072)",160.0,598,"(598, 598)"
matmul,"(128,1), (1,262144)",311.2,597,"(597, 597)"
matmul,"(128,1), (1,524288)",656.1,596,"(596, 596)"
matmul,"(128,1), (1,1048576)",1289.0,553,"(553, 553, 553)"
matmul,"(128,1), (1,2097152)",2587.7,533,"(1066, 533, 533)"
matmul,"(128,1), (1,4194304)",5206.7,559,"(2236, 559, 559)"
matmul,"(256,1), (1,1)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,2)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,4)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,16)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,64)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,128)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,256)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,512)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,1024)",6.0,606,"(606, 606)"
matmul,"(256,1), (1,2048)",6.6,606,"(606, 606)"
matmul,"(256,1), (1,4096)",10.0,602,"(602, 602)"
matmul,"(256,1), (1,8192)",24.0,608,"(608, 608)"
matmul,"(256,1), (1,16384)",46.0,599,"(599, 599)"
matmul,"(256,1), (1,32768)",86.0,598,"(598, 598)"
matmul,"(256,1), (1,65536)",162.0,596,"(596, 596)"
matmul,"(256,1), (1,131072)",314.2,601,"(601, 601)"
matmul,"(256,1), (1,262144)",613.3,597,"(597, 597)"
matmul,"(256,1), (1,524288)",1259.5,601,"(601, 601)"
matmul,"(256,1), (1,1048576)",2515.2,578,"(578, 578, 578)"
matmul,"(256,1), (1,2097152)",5048.3,528,"(1056, 528, 528)"
matmul,"(512,1), (1,1)",4.0,602,"(602, 602)"
matmul,"(512,1), (1,2)",4.0,608,"(608, 608)"
matmul,"(512,1), (1,4)",4.0,604,"(604, 604)"
matmul,"(512,1), (1,8)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(512,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(512,1), (1,64)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,128)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(512,1), (1,512)",6.0,604,"(604, 604)"
matmul,"(512,1), (1,1024)",8.0,602,"(602, 602)"
matmul,"(512,1), (1,2048)",10.0,606,"(606, 606)"
matmul,"(512,1), (1,4096)",24.0,604,"(604, 604)"
matmul,"(512,1), (1,8192)",42.8,606,"(606, 606)"
matmul,"(512,1), (1,16384)",83.3,604,"(604, 604)"
matmul,"(512,1), (1,32768)",164.0,602,"(602, 602)"
matmul,"(512,1), (1,65536)",310.0,603,"(603, 603)"
matmul,"(512,1), (1,131072)",620.5,599,"(599, 599)"
matmul,"(512,1), (1,262144)",1226.7,600,"(600, 600)"
matmul,"(512,1), (1,524288)",2495.0,586,"(586, 586)"
matmul,"(512,1), (1,1048576)",4950.7,541,"(541, 541, 541)"
matmul,"(1024,1), (1,1)",4.0,602,"(602, 602)"
matmul,"(1024,1), (1,2)",4.0,606,"(606, 606)"
matmul,"(1024,1), (1,4)",4.0,604,"(604, 604)"
matmul,"(1024,1), (1,8)",4.0,606,"(606, 606)"
matmul,"(1024,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(1024,1), (1,32)",4.0,606,"(606, 606)"
matmul,"(1024,1), (1,64)",4.0,606,"(606, 606)"
matmul,"(1024,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(1024,1), (1,256)",6.0,604,"(604, 604)"
matmul,"(1024,1), (1,512)",8.0,604,"(604, 604)"
matmul,"(1024,1), (1,1024)",10.0,606,"(606, 606)"
matmul,"(1024,1), (1,2048)",24.0,606,"(606, 606)"
matmul,"(1024,1), (1,4096)",42.6,608,"(608, 608)"
matmul,"(1024,1), (1,8192)",80.3,604,"(604, 604)"
matmul,"(1024,1), (1,16384)",158.0,599,"(599, 599)"
matmul,"(1024,1), (1,32768)",309.6,602,"(602, 602)"
matmul,"(1024,1), (1,65536)",625.0,603,"(603, 603)"
matmul,"(1024,1), (1,131072)",1237.1,604,"(604, 604)"
matmul,"(1024,1), (1,262144)",2465.8,600,"(600, 600)"
