op,shape,time,valid,count
constant,,4.0,602,"(602, 602)"
constant,,4.0,600,"(600, 600)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,600,"(600, 600)"
constant,,4.0,599,"(599, 599)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,600,"(600, 600)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,602,"(602, 602)"
constant,,4.0,600,"(600, 600)"
constant,,6.0,600,"(600, 600)"
constant,,8.0,602,"(602, 602)"
constant,,12.0,602,"(602, 602)"
constant,,28.0,602,"(602, 602)"
constant,,56.0,600,"(600, 600)"
constant,,88.0,602,"(602, 602)"
constant,,154.0,600,"(600, 600)"
constant,,305.4,602,"(602, 602)"
constant,,606.0,602,"(602, 602)"
constant,,1208.6,602,"(602, 602)"
constant,,2430.7,602,"(602, 602)"
constant,,4887.9,602,"(602, 602)"
