op,shape,time,valid,count
scalar_add,"(1,)",4.0,594,"(594, 594)"
scalar_add,"(2,)",4.0,590,"(590, 590)"
scalar_add,"(4,)",4.0,583,"(583, 583)"
scalar_add,"(8,)",4.0,596,"(596, 596)"
scalar_add,"(16,)",4.0,596,"(596, 596)"
scalar_add,"(32,)",4.0,596,"(596, 596)"
scalar_add,"(64,)",4.0,597,"(597, 597)"
scalar_add,"(128,)",4.0,598,"(598, 598)"
scalar_add,"(256,)",4.0,589,"(589, 589)"
scalar_add,"(512,)",4.0,592,"(592, 592)"
scalar_add,"(1024,)",4.0,591,"(591, 591)"
scalar_add,"(2048,)",4.0,595,"(595, 595)"
scalar_add,"(4096,)",4.0,596,"(596, 596)"
scalar_add,"(8192,)",4.0,591,"(591, 591)"
scalar_add,"(16384,)",4.0,597,"(597, 597)"
scalar_add,"(32768,)",4.0,592,"(592, 592)"
scalar_add,"(65536,)",4.0,591,"(591, 591)"
scalar_add,"(131072,)",4.0,593,"(593, 593)"
scalar_add,"(262144,)",6.0,594,"(594, 594)"
scalar_add,"(524288,)",6.0,597,"(597, 597)"
scalar_add,"(1048576,)",20.0,601,"(601, 601)"
scalar_add,"(2097152,)",44.0,600,"(600, 600)"
scalar_add,"(4194304,)",84.0,599,"(599, 599)"
scalar_add,"(8388608,)",164.3,594,"(594, 594)"
scalar_add,"(16777216,)",322.8,595,"(595, 595)"
scalar_add,"(33554432,)",640.4,599,"(599, 599)"
scalar_add,"(67108864,)",1274.0,598,"(598, 598)"
scalar_add,"(134217728,)",2541.9,592,"(592, 592)"
scalar_add,"(268435456,)",5088.2,587,"(587, 587)"
scalar_add,"(536870912,)",10186.0,595,"(595, 595)"
scalar_add,"(1,)",4.0,589,"(589, 589)"
scalar_add,"(2,)",4.0,593,"(593, 593)"
scalar_add,"(4,)",4.0,590,"(590, 590)"
scalar_add,"(8,)",4.0,595,"(595, 595)"
scalar_add,"(16,)",4.0,598,"(598, 598)"
scalar_add,"(32,)",4.0,592,"(592, 592)"
scalar_add,"(64,)",4.0,591,"(591, 591)"
