op,shape,time,valid,count
softmax,"(1,1)",4.0,600,"(600, 600)"
softmax,"(2,1)",4.0,600,"(600, 600)"
softmax,"(4,1)",4.0,600,"(600, 600)"
softmax,"(8,1)",4.0,600,"(600, 600)"
softmax,"(16,1)",4.0,600,"(600, 600)"
softmax,"(32,1)",4.0,600,"(600, 600)"
softmax,"(64,1)",4.0,600,"(600, 600)"
softmax,"(128,1)",4.0,600,"(600, 600)"
softmax,"(256,1)",4.0,600,"(600, 600)"
softmax,"(512,1)",4.0,600,"(600, 600)"
softmax,"(1024,1)",4.0,600,"(600, 600)"
softmax,"(2048,1)",4.0,600,"(600, 600)"
softmax,"(4096,1)",4.0,600,"(600, 600)"
softmax,"(8192,1)",4.0,600,"(600, 600)"
softmax,"(16384,1)",4.0,600,"(600, 600)"
softmax,"(32768,1)",4.0,600,"(600, 600)"
softmax,"(65536,1)",4.0,600,"(600, 600)"
softmax,"(131072,1)",6.0,600,"(600, 600)"
softmax,"(262144,1)",8.0,600,"(600, 600)"
softmax,"(524288,1)",10.0,600,"(600, 600)"
softmax,"(1048576,1)",21.14,600,"(600, 600)"
softmax,"(2097152,1)",47.08,600,"(600, 600)"
softmax,"(4194304,1)",86.21333333333334,600,"(600, 600)"
softmax,"(8388608,1)",166.0,600,"(600, 600)"
softmax,"(16777216,1)",326.0733333333333,600,"(600, 600)"
softmax,"(33554432,1)",645.5433333333333,600,"(600, 600)"
softmax,"(67108864,1)",1285.4866666666667,600,"(600, 600)"
softmax,"(134217728,1)",2569.9566666666665,600,"(600, 600)"
softmax,"(268435456,1)",5132.606666666667,600,"(600, 600)"
softmax,"(536870912,1)",10285.673333333334,600,"(600, 600)"
softmax,"(1,2)",4.0,600,"(600, 600)"
softmax,"(2,2)",4.0,600,"(600, 600)"
softmax,"(4,2)",4.0,600,"(600, 600)"
softmax,"(8,2)",4.0,600,"(600, 600)"
softmax,"(16,2)",4.0,600,"(600, 600)"
softmax,"(32,2)",4.0,600,"(600, 600)"
softmax,"(64,2)",4.0,600,"(600, 600)"
softmax,"(128,2)",4.0,600,"(600, 600)"
softmax,"(256,2)",4.0,600,"(600, 600)"
softmax,"(512,2)",4.0,600,"(600, 600)"
softmax,"(1024,2)",4.0,600,"(600, 600)"
softmax,"(2048,2)",4.0,600,"(600, 600)"
softmax,"(4096,2)",4.0,600,"(600, 600)"
softmax,"(8192,2)",4.0,600,"(600, 600)"
softmax,"(16384,2)",4.0,600,"(600, 600)"
softmax,"(32768,2)",4.0,600,"(600, 600)"
softmax,"(65536,2)",6.0,600,"(600, 600)"
softmax,"(131072,2)",6.0,600,"(600, 600)"
softmax,"(262144,2)",8.0,600,"(600, 600)"
softmax,"(524288,2)",20.0,600,"(600, 600)"
softmax,"(1048576,2)",44.63666666666666,600,"(600, 600)"
softmax,"(2097152,2)",85.21,600,"(600, 600)"
softmax,"(4194304,2)",164.93666666666667,600,"(600, 600)"
softmax,"(8388608,2)",323.6433333333333,600,"(600, 600)"
softmax,"(16777216,2)",640.87,600,"(600, 600)"
softmax,"(33554432,2)",1274.9666666666667,600,"(600, 600)"
softmax,"(67108864,2)",2546.5266666666666,600,"(600, 600)"
softmax,"(134217728,2)",5100.393333333333,600,"(600, 600)"
softmax,"(268435456,2)",10230.513333333334,600,"(600, 600)"
softmax,"(1,4)",4.0,600,"(600, 600)"
softmax,"(2,4)",4.0,600,"(600, 600)"
softmax,"(4,4)",4.0,600,"(600, 600)"
softmax,"(8,4)",4.0,600,"(600, 600)"
softmax,"(16,4)",4.0,600,"(600, 600)"
softmax,"(32,4)",4.0,600,"(600, 600)"
softmax,"(64,4)",4.0,600,"(600, 600)"
softmax,"(128,4)",4.0,600,"(600, 600)"
softmax,"(256,4)",4.0,600,"(600, 600)"
softmax,"(512,4)",4.0,600,"(600, 600)"
softmax,"(1024,4)",4.0,600,"(600, 600)"
softmax,"(2048,4)",4.0,600,"(600, 600)"
softmax,"(4096,4)",4.0,600,"(600, 600)"
softmax,"(8192,4)",4.0,600,"(600, 600)"
softmax,"(16384,4)",4.0,600,"(600, 600)"
softmax,"(32768,4)",6.0,600,"(600, 600)"
softmax,"(65536,4)",6.0,600,"(600, 600)"
softmax,"(131072,4)",8.0,600,"(600, 600)"
softmax,"(262144,4)",20.0,600,"(600, 600)"
softmax,"(524288,4)",44.49,600,"(600, 600)"
softmax,"(1048576,4)",84.98666666666666,600,"(600, 600)"
softmax,"(2097152,4)",164.51333333333332,600,"(600, 600)"
softmax,"(4194304,4)",323.0366666666667,600,"(600, 600)"
softmax,"(8388608,4)",640.44,600,"(600, 600)"
softmax,"(16777216,4)",1274.3866666666668,600,"(600, 600)"
softmax,"(33554432,4)",2543.5666666666666,600,"(600, 600)"
softmax,"(67108864,4)",5091.256666666667,600,"(600, 600)"
softmax,"(134217728,4)",10196.826666666666,600,"(600, 600)"
softmax,"(1,8)",4.0,600,"(600, 600)"
softmax,"(2,8)",4.0,600,"(600, 600)"
softmax,"(4,8)",4.0,600,"(600, 600)"
softmax,"(8,8)",4.0,600,"(600, 600)"
softmax,"(16,8)",4.0,600,"(600, 600)"
softmax,"(32,8)",4.0,600,"(600, 600)"
softmax,"(64,8)",4.0,600,"(600, 600)"
softmax,"(128,8)",4.0,600,"(600, 600)"
softmax,"(256,8)",4.0,600,"(600, 600)"
softmax,"(512,8)",4.0,600,"(600, 600)"
softmax,"(1024,8)",4.0,600,"(600, 600)"
softmax,"(2048,8)",4.0,600,"(600, 600)"
softmax,"(4096,8)",4.0,600,"(600, 600)"
softmax,"(8192,8)",4.0,600,"(600, 600)"
softmax,"(16384,8)",6.0,600,"(600, 600)"
softmax,"(32768,8)",6.0,600,"(600, 600)"
softmax,"(65536,8)",8.0,600,"(600, 600)"
softmax,"(131072,8)",20.0,600,"(600, 600)"
softmax,"(262144,8)",44.89,600,"(600, 600)"
softmax,"(524288,8)",85.10333333333334,600,"(600, 600)"
softmax,"(1048576,8)",164.72333333333333,600,"(600, 600)"
softmax,"(2097152,8)",323.01666666666665,600,"(600, 600)"
softmax,"(4194304,8)",640.8866666666667,600,"(600, 600)"
softmax,"(8388608,8)",1274.7766666666666,600,"(600, 600)"
softmax,"(16777216,8)",2544.66,600,"(600, 600)"
softmax,"(33554432,8)",5092.073333333334,600,"(600, 600)"
softmax,"(67108864,8)",10193.253333333334,600,"(600, 600)"
softmax,"(1,16)",4.0,600,"(600, 600)"
softmax,"(2,16)",4.0,600,"(600, 600)"
softmax,"(4,16)",4.0,600,"(600, 600)"
softmax,"(8,16)",4.0,600,"(600, 600)"
softmax,"(16,16)",4.0,600,"(600, 600)"
softmax,"(32,16)",4.0,600,"(600, 600)"
softmax,"(64,16)",4.0,600,"(600, 600)"
softmax,"(128,16)",4.0,600,"(600, 600)"
softmax,"(256,16)",4.0,600,"(600, 600)"
softmax,"(512,16)",4.0,600,"(600, 600)"
softmax,"(1024,16)",4.0,600,"(600, 600)"
softmax,"(2048,16)",4.0,600,"(600, 600)"
softmax,"(4096,16)",4.0,600,"(600, 600)"
softmax,"(8192,16)",6.0,600,"(600, 600)"
softmax,"(16384,16)",6.0,600,"(600, 600)"
softmax,"(32768,16)",8.0,600,"(600, 600)"
softmax,"(65536,16)",20.573333333333334,600,"(600, 600)"
softmax,"(131072,16)",45.053333333333335,600,"(600, 600)"
softmax,"(262144,16)",85.40333333333334,600,"(600, 600)"
softmax,"(524288,16)",164.80333333333334,600,"(600, 600)"
softmax,"(1048576,16)",323.65,600,"(600, 600)"
softmax,"(2097152,16)",640.9433333333334,600,"(600, 600)"
softmax,"(4194304,16)",1275.07,600,"(600, 600)"
softmax,"(8388608,16)",2545.14,600,"(600, 600)"
softmax,"(16777216,16)",5092.696666666667,600,"(600, 600)"
softmax,"(33554432,16)",10194.556666666667,600,"(600, 600)"
softmax,"(1,32)",4.0,600,"(600, 600)"
softmax,"(2,32)",4.0,600,"(600, 600)"
softmax,"(4,32)",4.0,600,"(600, 600)"
softmax,"(8,32)",4.0,600,"(600, 600)"
softmax,"(16,32)",4.0,600,"(600, 600)"
softmax,"(32,32)",4.0,600,"(600, 600)"
softmax,"(64,32)",4.0,600,"(600, 600)"
softmax,"(128,32)",4.0,600,"(600, 600)"
softmax,"(256,32)",4.0,600,"(600, 600)"
softmax,"(512,32)",4.0,600,"(600, 600)"
softmax,"(1024,32)",4.0,600,"(600, 600)"
softmax,"(2048,32)",4.0,600,"(600, 600)"
softmax,"(4096,32)",6.0,600,"(600, 600)"
softmax,"(8192,32)",6.0,600,"(600, 600)"
softmax,"(16384,32)",8.0,600,"(600, 600)"
softmax,"(32768,32)",20.376666666666665,600,"(600, 600)"
softmax,"(65536,32)",45.25333333333333,600,"(600, 600)"
softmax,"(131072,32)",85.46333333333334,600,"(600, 600)"
softmax,"(262144,32)",164.55666666666667,600,"(600, 600)"
softmax,"(524288,32)",323.01,600,"(600, 600)"
softmax,"(1048576,32)",640.3933333333333,600,"(600, 600)"
softmax,"(2097152,32)",1274.3866666666668,600,"(600, 600)"
softmax,"(4194304,32)",2543.1233333333334,600,"(600, 600)"
softmax,"(8388608,32)",5092.3,600,"(600, 600)"
softmax,"(16777216,32)",10198.673333333334,600,"(600, 600)"
softmax,"(1,64)",4.0,600,"(600, 600)"
softmax,"(2,64)",4.0,600,"(600, 600)"
softmax,"(4,64)",4.0,600,"(600, 600)"
softmax,"(8,64)",4.0,600,"(600, 600)"
softmax,"(16,64)",4.0,600,"(600, 600)"
softmax,"(32,64)",4.0,600,"(600, 600)"
softmax,"(64,64)",4.0,600,"(600, 600)"
softmax,"(128,64)",4.0,604,"(604, 552)"
softmax,"(256,64)",4.0,600,"(600, 600)"
softmax,"(512,64)",4.0,600,"(600, 600)"
softmax,"(1024,64)",4.0,600,"(600, 600)"
softmax,"(2048,64)",6.0,600,"(600, 600)"
softmax,"(4096,64)",6.0,600,"(600, 600)"
softmax,"(8192,64)",8.0,600,"(600, 600)"
softmax,"(16384,64)",20.776666666666667,600,"(600, 600)"
softmax,"(32768,64)",45.13333333333333,600,"(600, 600)"
softmax,"(65536,64)",85.63,600,"(600, 600)"
softmax,"(131072,64)",164.99666666666667,600,"(600, 600)"
softmax,"(262144,64)",323.8566666666667,600,"(600, 600)"
softmax,"(524288,64)",641.3733333333333,600,"(600, 600)"
softmax,"(1048576,64)",1275.62,600,"(600, 600)"
softmax,"(2097152,64)",2546.0433333333335,600,"(600, 600)"
softmax,"(4194304,64)",5094.516666666666,600,"(600, 600)"
softmax,"(8388608,64)",10196.74,600,"(600, 600)"
softmax,"(1,128)",4.0,600,"(600, 600)"
softmax,"(2,128)",4.0,600,"(600, 600)"
softmax,"(4,128)",4.0,600,"(600, 600)"
softmax,"(8,128)",4.0,600,"(600, 600)"
softmax,"(16,128)",4.0,600,"(600, 600)"
softmax,"(32,128)",4.0,600,"(600, 600)"
softmax,"(64,128)",4.0,600,"(600, 600)"
softmax,"(128,128)",4.0,602,"(602, 457)"
softmax,"(256,128)",4.0,602,"(602, 598)"
softmax,"(512,128)",4.0,600,"(600, 600)"
softmax,"(1024,128)",6.0,600,"(600, 600)"
softmax,"(2048,128)",6.0,600,"(600, 600)"
softmax,"(4096,128)",8.0,600,"(600, 600)"
softmax,"(8192,128)",20.923333333333332,600,"(600, 600)"
softmax,"(16384,128)",45.39333333333333,600,"(600, 600)"
softmax,"(32768,128)",85.61666666666666,600,"(600, 600)"
softmax,"(65536,128)",165.2,600,"(600, 600)"
softmax,"(131072,128)",323.8566666666667,600,"(600, 600)"
softmax,"(262144,128)",641.6733333333333,600,"(600, 600)"
softmax,"(524288,128)",1276.2566666666667,600,"(600, 600)"
softmax,"(1048576,128)",2546.943333333333,600,"(600, 600)"
softmax,"(2097152,128)",5094.803333333333,600,"(600, 600)"
softmax,"(4194304,128)",10193.426666666666,600,"(600, 600)"
softmax,"(1,256)",4.0,600,"(600, 600)"
softmax,"(2,256)",4.0,600,"(600, 600)"
softmax,"(4,256)",4.0,600,"(600, 600)"
