op,shape,time,valid,count
fused_bias_add_gelu,"(1,1), (1,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,2), (2,)",4.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,4), (4,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,8), (8,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,16), (16,)",4.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,32), (32,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,64), (64,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,128), (128,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,256), (256,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,512), (512,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,1024), (1024,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,2048), (2048,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,4096), (4096,)",4.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,8192), (8192,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,16384), (16384,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,32768), (32768,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,65536), (65536,)",6.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,131072), (131072,)",6.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,262144), (262144,)",10.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,524288), (524288,)",16.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,1048576), (1048576,)",36.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,2097152), (2097152,)",64.0,600,"(600, 600)"
fused_bias_add_gelu,"(1,4194304), (4194304,)",123.0,602,"(602, 602)"
fused_bias_add_gelu,"(1,8388608), (8388608,)",244.6,602,"(602, 602)"
fused_bias_add_gelu,"(1,16777216), (16777216,)",484.9,601,"(601, 601)"
fused_bias_add_gelu,"(1,33554432), (33554432,)",963.6,602,"(602, 602)"
fused_bias_add_gelu,"(1,67108864), (67108864,)",1937.7,602,"(602, 602)"
fused_bias_add_gelu,"(1,134217728), (134217728,)",3880.6,602,"(602, 602)"
fused_bias_add_gelu,"(1,268435456), (268435456,)",7834.3,602,"(602, 602)"
fused_bias_add_gelu,"(1,536870912), (536870912,)",15633.4,602,"(602, 602)"
fused_bias_add_gelu,"(2,1), (1,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(2,2), (2,)",4.0,600,"(600, 600)"
fused_bias_add_gelu,"(2,4), (4,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(2,8), (8,)",4.0,600,"(600, 600)"
fused_bias_add_gelu,"(2,16), (16,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(2,32), (32,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(2,64), (64,)",4.0,602,"(602, 602)"
fused_bias_add_gelu,"(2,128), (128,)",4.0,601,"(601, 601)"
