op,shape,time,valid,count
layer_norm,"(1,1)",4.0,598,"(598, 598)"
layer_norm,"(1,2)",4.0,591,"(591, 591)"
layer_norm,"(1,4)",4.0,590,"(590, 590)"
layer_norm,"(1,8)",4.0,595,"(595, 595)"
layer_norm,"(1,16)",4.0,595,"(595, 595)"
layer_norm,"(1,32)",4.0,599,"(599, 599)"
layer_norm,"(1,64)",4.0,593,"(593, 593)"
layer_norm,"(1,128)",4.0,593,"(593, 593)"
layer_norm,"(1,256)",5.5,599,"(599, 599)"
layer_norm,"(1,512)",6.0,594,"(594, 594)"
layer_norm,"(1,1024)",6.0,597,"(597, 597)"
layer_norm,"(1,2048)",8.0,588,"(588, 588)"
layer_norm,"(1,4096)",8.0,585,"(585, 585)"
layer_norm,"(1,8192)",10.0,590,"(590, 590)"
layer_norm,"(1,16384)",14.0,589,"(589, 589)"
layer_norm,"(1,32768)",18.9,589,"(589, 589)"
layer_norm,"(1,65536)",30.0,594,"(594, 594)"
layer_norm,"(1,131072)",54.0,591,"(591, 591)"
layer_norm,"(1,262144)",102.0,597,"(597, 597)"
layer_norm,"(1,524288)",194.4,589,"(589, 589)"
layer_norm,"(1,1048576)",338.7,598,"(598, 598)"
layer_norm,"(1,2097152)",680.1,599,"(599, 599)"
layer_norm,"(1,4194304)",1367.7,596,"(596, 596)"
layer_norm,"(1,8388608)",2721.1,600,"(600, 600)"
layer_norm,"(1,16777216)",5426.0,597,"(597, 597)"
layer_norm,"(1,33554432)",10854.7,597,"(597, 597)"
layer_norm,"(1,67108864)",21737.3,595,"(595, 595)"
layer_norm,"(1,134217728)",43610.6,594,"(594, 594)"
layer_norm,"(1,268435456)",87677.6,593,"(593, 593)"
layer_norm,"(1,536870912)",176068.9,595,"(595, 595)"
layer_norm,"(2,1)",4.0,586,"(586, 586)"
layer_norm,"(2,2)",4.0,596,"(596, 596)"
layer_norm,"(2,4)",4.0,597,"(597, 597)"
layer_norm,"(2,8)",6.0,596,"(596, 596)"
layer_norm,"(2,16)",6.0,601,"(601, 601)"
layer_norm,"(2,32)",6.0,598,"(598, 598)"
layer_norm,"(2,64)",6.0,594,"(594, 594)"
layer_norm,"(2,128)",4.0,593,"(593, 593)"
layer_norm,"(2,256)",6.0,597,"(597, 597)"
layer_norm,"(2,512)",6.0,596,"(596, 596)"
layer_norm,"(2,1024)",6.0,585,"(585, 585)"
layer_norm,"(2,2048)",8.0,590,"(590, 590)"
layer_norm,"(2,4096)",8.0,600,"(600, 600)"
layer_norm,"(2,8192)",10.0,594,"(594, 594)"
