op,shape,time,valid,count
add_n,"(1,), (1,)",4.0,594,"(594, 594)"
add_n,"(2,), (2,)",4.0,595,"(595, 595)"
add_n,"(4,), (4,)",4.0,595,"(595, 595)"
add_n,"(8,), (8,)",4.0,594,"(594, 594)"
add_n,"(16,), (16,)",4.0,591,"(591, 591)"
add_n,"(32,), (32,)",4.0,600,"(600, 600)"
add_n,"(64,), (64,)",4.0,597,"(597, 597)"
add_n,"(128,), (128,)",4.0,590,"(590, 590)"
add_n,"(256,), (256,)",4.0,597,"(597, 597)"
add_n,"(512,), (512,)",4.0,598,"(598, 598)"
add_n,"(1024,), (1024,)",4.0,593,"(593, 593)"
add_n,"(2048,), (2048,)",4.0,601,"(601, 601)"
add_n,"(4096,), (4096,)",4.0,595,"(595, 595)"
add_n,"(8192,), (8192,)",4.0,608,"(608, 608)"
add_n,"(16384,), (16384,)",4.0,592,"(592, 592)"
add_n,"(32768,), (32768,)",4.0,593,"(593, 593)"
add_n,"(65536,), (65536,)",4.0,601,"(601, 601)"
add_n,"(131072,), (131072,)",6.0,592,"(592, 592)"
add_n,"(262144,), (262144,)",6.0,595,"(595, 595)"
add_n,"(524288,), (524288,)",12.0,595,"(595, 595)"
add_n,"(1048576,), (1048576,)",33.3,596,"(596, 596)"
add_n,"(2097152,), (2097152,)",64.0,595,"(595, 595)"
add_n,"(4194304,), (4194304,)",124.0,594,"(594, 594)"
add_n,"(8388608,), (8388608,)",242.0,596,"(596, 596)"
add_n,"(16777216,), (16777216,)",478.4,601,"(601, 601)"
add_n,"(33554432,), (33554432,)",951.4,598,"(598, 598)"
add_n,"(67108864,), (67108864,)",1900.0,599,"(599, 599)"
add_n,"(134217728,), (134217728,)",3797.2,590,"(590, 590)"
add_n,"(268435456,), (268435456,)",7610.8,605,"(605, 605)"
add_n,"(536870912,), (536870912,)",15258.7,605,"(605, 605)"
broadcast_add,"(2,1), (1,1)",4.0,594,"(594, 594)"
broadcast_add,"(4,1), (1,1)",4.0,590,"(590, 590)"
broadcast_add,"(8,1), (1,1)",4.0,583,"(583, 583)"
broadcast_add,"(16,1), (1,1)",4.0,589,"(589, 589)"
broadcast_add,"(32,1), (1,1)",4.0,595,"(595, 595)"
broadcast_add,"(64,1), (1,1)",4.0,595,"(595, 595)"
broadcast_add,"(128,1), (1,1)",4.0,589,"(589, 589)"
broadcast_add,"(256,1), (1,1)",4.0,602,"(602, 602)"
broadcast_add,"(512,1), (1,1)",4.0,598,"(598, 598)"
broadcast_add,"(1024,1), (1,1)",4.0,590,"(590, 590)"
broadcast_add,"(2048,1), (1,1)",4.0,593,"(593, 593)"
broadcast_add,"(4096,1), (1,1)",4.0,585,"(585, 585)"
broadcast_add,"(8192,1), (1,1)",4.0,586,"(586, 586)"
broadcast_add,"(16384,1), (1,1)",4.0,601,"(601, 601)"
broadcast_add,"(32768,1), (1,1)",4.0,593,"(593, 593)"
broadcast_add,"(65536,1), (1,1)",4.0,598,"(598, 598)"
broadcast_add,"(131072,1), (1,1)",4.0,583,"(583, 583)"
broadcast_add,"(262144,1), (1,1)",6.0,597,"(597, 597)"
broadcast_add,"(524288,1), (1,1)",6.0,590,"(590, 590)"
broadcast_add,"(1048576,1), (1,1)",20.0,595,"(595, 595)"
broadcast_add,"(2097152,1), (1,1)",44.2,605,"(605, 605)"
broadcast_add,"(4194304,1), (1,1)",84.9,590,"(590, 590)"
broadcast_add,"(8388608,1), (1,1)",164.1,592,"(592, 592)"
broadcast_add,"(16777216,1), (1,1)",323.8,597,"(597, 597)"
broadcast_add,"(33554432,1), (1,1)",640.0,595,"(595, 595)"
broadcast_add,"(67108864,1), (1,1)",1273.7,588,"(588, 588)"
broadcast_add,"(134217728,1), (1,1)",2541.1,588,"(588, 588)"
broadcast_add,"(268435456,1), (1,1)",5086.1,597,"(597, 597)"
broadcast_add,"(536870912,1), (1,1)",10194.0,594,"(594, 594)"
broadcast_add,"(2,2), (1,2)",4.0,600,"(600, 600)"
broadcast_add,"(4,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(8,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(16,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(32,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(64,2), (1,2)",4.0,600,"(600, 600)"
broadcast_add,"(128,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(256,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(512,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(1024,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(2048,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(4096,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(8192,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(16384,2), (1,2)",4.0,600,"(600, 600)"
broadcast_add,"(32768,2), (1,2)",6.0,602,"(602, 602)"
broadcast_add,"(65536,2), (1,2)",8.0,602,"(602, 602)"
broadcast_add,"(131072,2), (1,2)",10.0,602,"(602, 602)"
broadcast_add,"(262144,2), (1,2)",15.7,600,"(600, 600)"
broadcast_add,"(524288,2), (1,2)",30.0,600,"(600, 600)"
broadcast_add,"(1048576,2), (1,2)",54.0,600,"(600, 600)"
broadcast_add,"(2097152,2), (1,2)",102.0,602,"(602, 602)"
