op,shape,time,valid,count
matmul,"(1,1), (1,1)",4.0,596,"(596, 596)"
matmul,"(1,1), (1,2)",4.0,598,"(598, 598)"
matmul,"(1,1), (1,4)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,8)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,16)",4.0,603,"(603, 603)"
matmul,"(1,1), (1,32)",4.0,603,"(603, 603)"
matmul,"(1,1), (1,64)",4.0,603,"(603, 603)"
matmul,"(1,1), (1,128)",4.0,600,"(600, 600)"
matmul,"(1,1), (1,256)",4.0,601,"(601, 601)"
matmul,"(1,1), (1,512)",4.0,602,"(602, 602)"
matmul,"(1,1), (1,1024)",4.0,601,"(601, 601)"
matmul,"(1,1), (1,2048)",4.0,600,"(600, 600)"
matmul,"(1,1), (1,4096)",4.0,605,"(605, 605)"
matmul,"(1,1), (1,8192)",4.0,603,"(603, 603)"
matmul,"(1,1), (1,16384)",6.0,604,"(604, 604)"
matmul,"(1,1), (1,32768)",8.0,604,"(604, 604)"
matmul,"(1,1), (1,65536)",10.0,604,"(604, 604)"
matmul,"(1,1), (1,131072)",16.0,604,"(604, 604)"
matmul,"(1,1), (1,262144)",28.0,604,"(604, 604)"
matmul,"(1,1), (1,524288)",52.0,606,"(606, 606)"
matmul,"(1,1), (1,1048576)",118.3,604,"(604, 604)"
matmul,"(1,1), (1,2097152)",230.0,604,"(604, 604)"
matmul,"(1,1), (1,4194304)",409.0,604,"(604, 604)"
matmul,"(1,1), (1,8388608)",808.3,602,"(602, 602)"
matmul,"(1,1), (1,16777216)",1616.9,606,"(606, 606)"
matmul,"(1,1), (1,33554432)",3237.2,606,"(606, 606)"
matmul,"(1,1), (1,67108864)",6510.8,604,"(604, 604)"
matmul,"(1,1), (1,134217728)",12978.6,604,"(604, 604)"
matmul,"(1,1), (1,268435456)",25883.7,604,"(604, 604)"
matmul,"(1,1), (1,536870912)",52263.0,606,"(606, 606)"
matmul,"(2,1), (1,1)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,2)",4.0,601,"(601, 601)"
matmul,"(2,1), (1,4)",4.0,605,"(605, 605)"
matmul,"(2,1), (1,8)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,16)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,64)",4.0,601,"(601, 601)"
matmul,"(2,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,256)",4.0,598,"(598, 598)"
matmul,"(2,1), (1,512)",4.0,603,"(603, 603)"
matmul,"(2,1), (1,1024)",4.0,604,"(604, 604)"
matmul,"(2,1), (1,2048)",4.0,602,"(602, 602)"
matmul,"(2,1), (1,4096)",4.0,599,"(599, 599)"
matmul,"(2,1), (1,8192)",4.0,600,"(600, 600)"
matmul,"(2,1), (1,16384)",6.0,606,"(606, 606)"
