op,shape,time,valid,count
reduce_all,"(1,2)",4.0,597,"(597, 597)"
reduce_all,"(1,4)",4.0,598,"(598, 598)"
reduce_all,"(1,8)",4.0,594,"(594, 594)"
reduce_all,"(1,16)",4.0,598,"(598, 598)"
reduce_all,"(1,32)",4.0,600,"(600, 600)"
reduce_all,"(1,64)",4.0,594,"(594, 594)"
reduce_all,"(1,128)",4.0,597,"(597, 597)"
reduce_all,"(1,256)",4.0,597,"(597, 597)"
reduce_all,"(1,512)",4.0,595,"(595, 595)"
reduce_all,"(1,1024)",6.0,595,"(595, 595)"
reduce_all,"(1,2048)",6.0,594,"(594, 594)"
reduce_all,"(1,4096)",4.0,601,"(601, 601)"
reduce_all,"(1,8192)",8.0,594,"(594, 594, 594)"
reduce_all,"(1,16384)",8.0,592,"(592, 592, 592)"
reduce_all,"(1,32768)",8.0,592,"(592, 592, 592)"
reduce_all,"(1,65536)",8.2,592,"(592, 592, 592)"
reduce_all,"(1,131072)",10.0,591,"(591, 591, 591)"
reduce_all,"(1,262144)",10.0,588,"(588, 588, 588)"
reduce_all,"(1,524288)",10.0,590,"(590, 590, 590)"
reduce_all,"(1,1048576)",12.5,590,"(590, 590, 590)"
reduce_all,"(1,2097152)",30.0,591,"(591, 591, 591)"
reduce_all,"(1,4194304)",50.0,589,"(589, 589, 589)"
reduce_all,"(1,8388608)",89.1,585,"(585, 585, 585)"
reduce_all,"(1,16777216)",164.0,591,"(591, 591, 591)"
reduce_all,"(1,33554432)",312.0,585,"(585, 585, 585)"
reduce_all,"(1,67108864)",612.0,587,"(587, 587, 587)"
reduce_all,"(1,134217728)",1214.0,583,"(583, 583, 583)"
reduce_all,"(1,268435456)",2418.1,589,"(589, 589, 589)"
reduce_all,"(1,536870912)",4825.8,583,"(583, 583, 583)"
reduce_all,"(2,2)",4.0,604,"(604, 604)"
reduce_all,"(2,4)",4.0,597,"(597, 597)"
reduce_all,"(2,8)",4.0,600,"(600, 600)"
reduce_all,"(2,16)",4.0,598,"(598, 598)"
reduce_all,"(2,32)",4.0,601,"(601, 601)"
reduce_all,"(2,64)",4.0,597,"(597, 597)"
reduce_all,"(2,128)",4.0,597,"(597, 597)"
reduce_all,"(2,256)",4.0,597,"(597, 597)"
reduce_all,"(2,512)",4.0,598,"(598, 598)"
reduce_all,"(2,1024)",6.0,598,"(598, 598)"
reduce_all,"(2,2048)",6.0,600,"(600, 600)"
reduce_all,"(2,4096)",4.0,594,"(594, 594)"
reduce_all,"(2,8192)",6.0,598,"(598, 598)"
reduce_all,"(2,16384)",6.0,592,"(592, 592)"
reduce_all,"(2,32768)",10.0,599,"(599, 599)"
reduce_all,"(2,65536)",14.0,597,"(597, 597)"
reduce_all,"(2,131072)",24.0,597,"(597, 597)"
reduce_all,"(2,262144)",44.0,599,"(599, 599)"
reduce_all,"(2,524288)",82.0,600,"(600, 600)"
reduce_all,"(2,1048576)",218.6,594,"(594, 594)"
reduce_all,"(2,2097152)",406.0,596,"(596, 596)"
reduce_all,"(2,4194304)",777.3,594,"(594, 594)"
reduce_all,"(2,8388608)",1547.8,597,"(597, 597)"
reduce_all,"(2,16777216)",3090.2,594,"(594, 594)"
reduce_all,"(2,33554432)",6171.6,594,"(594, 594)"
reduce_all,"(2,67108864)",12338.6,594,"(594, 594)"
reduce_all,"(2,134217728)",24775.0,594,"(594, 594)"
reduce_all,"(2,268435456)",49533.7,593,"(593, 593)"
reduce_all,"(4,2)",4.0,595,"(595, 595)"
reduce_all,"(4,4)",4.0,589,"(589, 589)"
reduce_all,"(4,8)",4.0,592,"(592, 592)"
reduce_all,"(4,16)",4.0,596,"(596, 596)"
reduce_all,"(4,32)",4.0,597,"(597, 597)"
reduce_all,"(4,64)",4.0,597,"(597, 597)"
reduce_all,"(4,128)",4.0,560,"(560, 435)"
reduce_all,"(4,256)",4.0,594,"(594, 594)"
reduce_all,"(4,512)",4.0,595,"(595, 595)"
reduce_all,"(4,1024)",6.0,588,"(588, 562)"
reduce_all,"(4,2048)",6.0,590,"(590, 590)"
reduce_all,"(4,4096)",4.0,587,"(587, 587)"
reduce_all,"(4,8192)",6.0,601,"(601, 601)"
reduce_all,"(4,16384)",6.3,593,"(593, 587)"
reduce_all,"(4,32768)",10.0,550,"(550, 528)"
reduce_all,"(4,65536)",14.0,560,"(560, 531)"
reduce_all,"(4,131072)",24.0,579,"(579, 579)"
reduce_all,"(4,262144)",44.0,582,"(582, 582)"
reduce_all,"(4,524288)",114.0,592,"(592, 592)"
reduce_all,"(4,1048576)",220.5,596,"(596, 596)"
reduce_all,"(4,2097152)",396.6,603,"(603, 603)"
reduce_all,"(4,4194304)",787.8,596,"(596, 596)"
reduce_all,"(4,8388608)",1567.4,597,"(597, 597)"
reduce_all,"(4,16777216)",3135.8,602,"(602, 602)"
